date,open,close,high,low,volume
2007-05-17,8.058,8.134,8.239,7.972,841932.37
2007-05-18,8.192,8.039,8.211,7.972,833982.28
2007-05-21,7.676,8.144,8.278,7.609,1291830.08
2007-05-22,8.249,8.402,8.545,8.22,1853550.34
2007-05-23,8.44,8.411,8.478,8.211,1215124.71
2007-05-24,8.411,8.201,8.45,8.068,1066948.18
2007-05-25,8.182,8.173,8.259,8.02,984677.4
2007-05-28,8.239,8.325,8.392,8.239,1433839.15
2007-05-29,8.383,8.402,8.488,8.268,1535999.03
2007-05-30,7.733,7.562,8.239,7.562,1439485.56
2007-05-31,7.409,7.38,7.638,6.807,1250650.53
2007-06-01,7.38,6.674,7.447,6.655,1023792.99
2007-06-04,6.75,6.091,6.912,6.034,1065515.48
2007-06-05,6.082,6.702,6.702,6.024,1364759.9
2007-06-06,6.951,6.912,7.113,6.731,1040702.12
2007-06-07,6.912,6.998,7.027,6.779,714010.64
2007-06-08,7.008,6.998,7.189,6.874,825157.86
2007-06-11,7.027,7.008,7.113,6.903,776504.99
2007-06-12,7.017,7.208,7.304,6.683,1067389.73
2007-06-13,7.256,7.418,7.504,7.208,1227080.58
2007-06-14,7.428,7.142,7.428,7.132,663707.95
2007-06-15,7.008,6.96,7.122,6.884,557604.68
2007-06-18,7.017,7.122,7.142,6.998,707936.75
2007-06-19,7.132,7.189,7.294,7.094,875095.88
2007-06-20,7.208,7.036,7.304,7.017,795875.09
2007-06-21,6.97,6.922,7.065,6.741,715830.15
2007-06-22,6.951,6.593,6.951,6.399,554943.85
2007-06-25,6.661,6.302,6.767,6.206,516502.76
2007-06-26,6.196,6.525,6.535,6.147,450311.09
2007-06-27,6.525,6.506,6.564,6.273,456068.25
2007-06-28,6.535,6.351,6.815,6.283,674417.64
2007-06-29,6.186,6.167,6.409,6.089,389373.54
2007-07-02,6.167,6.264,6.312,6.022,345786.5
2007-07-03,6.312,6.264,6.341,6.099,302179.99
2007-07-04,6.273,6.099,6.293,6.08,284015.21
2007-07-05,6.051,5.654,6.051,5.615,410056.25
2007-07-06,5.634,5.896,5.905,5.305,769835.1
2007-07-09,5.905,5.925,5.993,5.76,618857.04
2007-07-10,5.925,5.702,5.925,5.663,384410.28
2007-07-11,5.634,5.76,5.809,5.586,276343.72
2007-07-12,5.76,5.799,5.857,5.673,245696.75
2007-07-13,5.828,5.77,5.847,5.692,267243.69
2007-07-16,5.789,5.509,5.799,5.45,314725.56
2007-07-17,5.499,5.576,5.634,5.412,260442.72
2007-07-18,5.576,5.576,5.673,5.46,293730.4
2007-07-19,5.567,5.605,5.654,5.518,260475.25
2007-07-20,5.654,5.828,5.828,5.644,703406.01
2007-07-23,5.828,6.409,6.409,5.799,1434392.95
2007-07-24,6.535,6.302,6.632,6.293,1194754.06
2007-07-25,6.302,6.39,6.438,6.244,768802.72
2007-07-26,6.438,6.409,6.457,6.312,634613.32
2007-07-27,6.409,6.554,6.602,6.293,862651.02
2007-07-30,6.583,6.748,6.845,6.583,953776.64
2007-07-31,6.757,6.738,6.893,6.68,705789.85
2007-08-01,6.757,6.351,6.815,6.312,775563.05
2007-08-02,6.37,6.496,6.573,6.312,472847.48
2007-08-03,6.535,6.457,6.564,6.38,631603.71
2007-08-06,6.564,6.719,6.825,6.535,767989.77
2007-08-07,6.786,6.883,7.009,6.632,1146106.07
2007-08-08,6.845,6.69,6.845,6.573,582765.74
2007-08-09,6.69,6.777,6.854,6.68,555459.29
2007-08-10,6.777,6.67,6.786,6.486,525945.28
2007-08-13,6.738,6.825,6.922,6.738,942728.38
2007-08-14,6.845,6.961,7.048,6.825,846239.0
2007-08-15,6.999,6.912,7.048,6.69,606404.88
